production,movie_title
" Twentieth Century Fox, Dune Entertainment, Ingenious Film Partners",Avatar
" Channel Awesome, That Guy With the Glasses",Star Wars: Episode VII - The Force Awakens            
" Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",Pirates of the Caribbean: At World's End
" Columbia Pictures Corporation, Marvel Studios, Laura Ziskin Productions",Spider-Man 3
" Walt Disney Pictures, BOT VFX",John Carter
" Warner Bros., Legendary Entertainment, DC Entertainment",The Dark Knight Rises
" Walt Disney Animation Studios, Walt Disney Pictures",Tangled
" Warner Bros., Heyday Films",Harry Potter and the Half-Blood Prince
" Metro-Goldwyn-Mayer (MGM), Columbia Pictures Corporation, Eon Productions",Quantum of Solace
" B24, Columbia Pictures Corporation, Danjaq",Spectre
" Warner Bros., Legendary Entertainment, Syncopy",Man of Steel
" Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",Pirates of the Caribbean: Dead Man's Chest
" Warner Bros., Legendary Entertainment, Peters Entertainment",Superman Returns
" Marvel Studios, Walt Disney Pictures",Avengers: Age of Ultron
" Warner Bros., Atlas Entertainment, Cruel & Unusual Films",Batman v Superman: Dawn of Justice
" Walt Disney Pictures, Jerry Bruckheimer Films, Blind Wink Productions",The Lone Ranger
" Walt Disney Pictures, Walden Media, Ozumi Films",The Chronicles of Narnia: Prince Caspian
" Columbia Pictures Corporation, Hemisphere Media Capital, Amblin Entertainment",Men in Black 3
" Marvel Studios, Paramount Pictures",The Avengers
" New Line Cinema, Ingenious Film Partners, Scholastic Productions",The Golden Compass
" Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)",Pirates of the Caribbean: On Stranger Tides
" Columbia Pictures Corporation, Marvel Entertainment, Laura Ziskin Productions",The Amazing Spider-Man
" New Line Cinema, Metro-Goldwyn-Mayer (MGM), WingNut Films",The Hobbit: The Battle of the Five Armies
" Metro-Goldwyn-Mayer (MGM), New Line Cinema, WingNut Films",The Hobbit: The Desolation of Smaug
" Universal Pictures, Imagine Entertainment, Relativity Media",Robin Hood
" Universal Pictures, WingNut Films, Big Primate Pictures",King Kong
" Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment",Titanic
" Marvel Studios, Vita-Ray Dutch Productions (III), Studio Babelsberg",Captain America: Civil War
" Universal Pictures, Amblin Entertainment, Legendary Entertainment",Jurassic World
" Eon Productions, B23, Columbia Pictures Corporation",Skyfall
" Walt Disney Pictures, Roth Films, Team Todd",Alice in Wonderland
" Twentieth Century Fox, Marvel Enterprises, Donners' Company",X-Men: O confronto final
" Marvel Studios, Paramount Pictures, DMG Entertainment",Iron Man 3
" Columbia Pictures Corporation, Marvel Enterprises, Laura Ziskin Productions",Spider-Man 2
" Universal Pictures, Hasbro, Bluegrass Films",Battleship
" DreamWorks, Paramount Pictures, Hasbro",Transformers: Revenge of the Fallen
" Walt Disney Pictures, Roth Films",Oz the Great and Powerful
" Paramount Pictures, Hasbro, Di Bonaventura Pictures",Transformers: Age of Extinction
" Walt Disney Pictures, Pixar Animation Studios",Monsters University
" Marvel Enterprises, Avi Arad Productions, Columbia Pictures Corporation",The Amazing Spider-Man 2
" Walt Disney Pictures, Sean Bailey Productions, LivePlanet",TRON: Legacy
" Walt Disney Pictures, Pixar Animation Studios",Cars 2
" Walt Disney Pictures, Pixar Animation Studios",Toy Story 3
" The Halcyon Company, Wonderland Sound and Vision, Columbia Pictures Corporation",Terminator Salvation
" New Line Cinema, Legendary Entertainment, Original Film",Jack the Giant Slayer
" Twentieth Century Fox, Marvel Entertainment, TSG Entertainment",X-Men: Days of Future Past
" Paramount Pictures, Skydance Media, Bad Robot",Star Trek Into Darkness
" Warner Bros., Village Roadshow Pictures, A&E Television Networks",The Great Gatsby
" Universal Pictures, Media Rights Capital (MRC), China Film Co.",Furious 7
" Paramount Pictures, Skydance Media, Hemisphere Media Capital",World War Z
" Walt Disney Pictures, Jerry Bruckheimer Films",Prince of Persia: The Sands of Time
" Warner Bros., De Line Pictures, DC Entertainment",Green Lantern
" Walt Disney Pictures, Pixar Animation Studios",Brave
" Warner Bros., Legendary Entertainment, Double Dare You (DDY)",Pacific Rim
" Pixar Animation Studios, Walt Disney Pictures",The Good Dinosaur
" Paramount Pictures, Lucasfilm, The Kennedy/Marshall Company",Indiana Jones and the Kingdom of the Crystal Skull
" Paramount Pictures, Skydance Media, Alibaba Pictures",Star Trek Beyond
" Paramount Pictures, Hasbro, Di Bonaventura Pictures",Transformers: Dark of the Moon
" FortyFour Studios, Pixar Animation Studios, Walt Disney Pictures",WALL·E
" New Line Cinema, Roger Birnbaum Productions, Arthur Sarkissian Productions",Rush Hour 3
" Walt Disney Pictures, ImageMovers Digital, ImageMovers",A Christmas Carol
" Columbia Pictures Corporation, Centropolis Entertainment, Farewell Productions",2012
" Warner Bros., Village Roadshow Pictures, Dune Entertainment",Jupiter Ascending
" Village Roadshow Pictures, RatPac-Dune Entertainment, Jerry Weintraub Productions",The Legend of Tarzan
" Walt Disney Pictures, Walden Media","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
" Twentieth Century Fox, Marvel Entertainment, TSG Entertainment",X-Men: Apocalypse
" Warner Bros., Legendary Entertainment, Syncopy",The Dark Knight
" Pixar Animation Studios, Walt Disney Pictures",Up
" Paramount Pictures, GK Films, Infinitum Nihil",Hugo
" Peters Entertainment, Sonnenfeld Josephson Worldwide Entertainment, Todman, Simon, LeMasters Productions",Wild Wild West
" Paramount Pictures, Marvel Enterprises, Marvel Studios",Iron Man
" Universal Pictures, Spyglass Entertainment, Relativity Media",Evan Almighty
 DreamWorks Animation,Monsters vs. Aliens
" Universal Pictures, Relativity Media, The Sommers Company",The Mummy: Tomb of the Dragon Emperor
" Universal Pictures, Gordon Company, Davis Entertainment",Waterworld
" Paramount Pictures, Spyglass Entertainment, Hasbro",G.I. Joe: The Rise of Cobra
" Warner Bros., Village Roadshow Pictures, RatPac-Dune Entertainment",Edge of Tomorrow
" Atlas Entertainment, DC Comics, DC Entertainment",Suicide Squad
" Pixar Animation Studios, Walt Disney Pictures",Inside Out
" Fairview Entertainment, Moving Picture Company (MPC), Prime Focus",The Jungle Book
" Paramount Pictures, Marvel Entertainment, Marvel Studios",Iron Man 2
" Roth Films, Universal Pictures",Snow White and the Huntsman
" H2F Entertainment, Mid Atlantic Films, Moving Picture Company (MPC)",47 Ronin
" Corsan, Bliss Media, Limelight International Media Entertainment",Time Traveller
" Roth Films, Walt Disney Pictures",Maleficent
" Chernin Entertainment, Ingenious Media, Soho VFX",Dawn of the Planet of the Apes
" Marvel Entertainment, Marvel Studios, Walt Disney Pictures",Captain America: The Winter Soldier
 DreamWorks Animation,Shrek Forever After
" Castle Rock Entertainment, Shangri-La Entertainment, Playtone",The Polar Express
" DreamWorks Animation, Mad Hatter Entertainment, Vertigo Entertainment",How to Train Your Dragon
" FortyFour Studios, Walt Disney Animation Studios, Walt Disney Pictures",Big Hero 6
" Walt Disney Animation Studios, Walt Disney Pictures",Wreck-It Ralph
" Walt Disney Pictures, A113, Babieka",Tomorrowland
" C-2 Pictures, Intermedia Films, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG",Terminator 3: Rise of the Machines
" Twentieth Century Fox, TSG Entertainment, Centropolis Entertainment",Independence Day: Resurgence
" Paramount Pictures, Warner Bros., Legendary Entertainment",Interstellar
" Cine Bazar, Toho Company, Toho Pictures",Shin Godzilla
" Marvel Studios, Moving Pictures Company, Marvel Enterprises",Guardians of the Galaxy
" Universal Pictures, Original Film, Mediastream Film GmbH & Co. Productions KG",The Fast and the Furious
" New Line Cinema, Metro-Goldwyn-Mayer (MGM), WingNut Films",The Hobbit: An Unexpected Journey
" Warner Bros., Legendary Entertainment, Syncopy",Inception
" Warner Bros., Paramount Pictures, The Kennedy/Marshall Company",The Curious Case of Benjamin Button
" Twentieth Century Fox, Marvel Entertainment, Dune Entertainment",X-Men: First Class
" DreamWorks Animation, Pacific Data Images (PDI)",Shrek the Third
" Warner Bros., Virtual Studios, Radiant Productions",Poseidon
" Walt Disney Pictures, Roth Films, Team Todd",Alice Through the Looking Glass
" Color Force, Lionsgate, Studio Babelsberg",The Hunger Games: Mockingjay - Part 2
" Fox 2000 Pictures, Walden Media, Dune Entertainment",The Chronicles of Narnia: The Voyage of the Dawn Treader
" Legendary Entertainment, Universal Pictures, Atlas Entertainment",Warcraft: The Beginning
" Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films",The Sorcerer's Apprentice
" DreamWorks, Paramount Pictures, Hasbro",Transformers
" Touchstone Pictures, Jerry Bruckheimer Films",Pearl Harbor
" Paramount Pictures, Skydance Media",Terminator Genisys
" Warner Bros., Intermedia Films, Pacifica Film",Alexander
" Warner Bros., Heyday Films, Cool Music",Harry Potter and the Order of the Phoenix
" Columbia Pictures Corporation, Relativity Media, Blue Light",Hancock
" Warner Bros., Heyday Films, Patalex IV Productions Limited",Harry Potter and the Goblet of Fire
" Warner Bros., Village Roadshow Pictures, Weed Road Pictures",I Am Legend
" Warner Bros., Village Roadshow Pictures, The Zanuck Company",Charlie and the Chocolate Factory
" Don Bluth Productions, Pixar Animation Studios, Walt Disney Pictures",Ratatouille
" Warner Bros., Syncopy, DC Comics",Batman Begins
" DreamWorks Animation, Nickelodeon Movies, Pacific Data Images (PDI)",Madagascar: Escape 2 Africa
" Twentieth Century Fox, 21 Laps Entertainment, 1492 Pictures",Night at the Museum: Battle of the Smithsonian
" Twentieth Century Fox, Marvel Enterprises, Dune Entertainment",X-Men Origins: Wolverine
" Walt Disney Animation Studios, Walt Disney Pictures",Frozen
" Columbia Pictures Corporation, Imagine Entertainment, Skylark Productions",Angels & Demons
" Warner Bros., Village Roadshow Pictures, Silver Pictures",The Matrix Reloaded
" Marvel Studios, Walt Disney Pictures",Thor: The Dark World
" Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Productions",Mad Max: Fury Road
" Paramount Pictures, Marvel Entertainment, Marvel Studios",Thor
" Walt Disney Animation Studios, Walt Disney Pictures",Bolt
" Warner Bros., Village Roadshow Pictures, Infinitum Nihil",Dark Shadows
" Jerry Bruckheimer Films, Walt Disney Pictures, Whamaphram Productions",G-Force
" Universal Pictures, Relativity Media, Stuber Productions",The Wolfman
" Warner Bros., Legendary Entertainment, Cott Productions",Fúria de Titãs
" DreamWorks Animation, Columbus 81 Productions, Pacific Data Images (PDI)",Bee Movie
" Paramount Pictures, Skydance Media, Bad Robot",Mission: Impossible - Rogue Nation
" DreamWorks Animation, Nickelodeon Movies",Kung Fu Panda 2
" Paramount Pictures, Nickelodeon Movies, Blinding Edge Pictures",The Last Airbender
" Paramount Pictures, Cruise/Wagner Productions, MI 3 Film",Mission: Impossible III
" Columbia Pictures Corporation, Mythology Entertainment, Centropolis Entertainment",White House Down
" Aardman Animations, DreamWorks Animation",Flushed Away
" Warner Bros., RatPac-Dune Entertainment, Berlanti Productions",Pan
" Warner Bros., Helena Productions, Latina Pictures",Troy
" Bullwinkle Studios, Classic Media Productions, DreamWorks Animation",Mr. Peabody & Sherman
" Walt Disney Pictures, ImageMovers Digital, FortyFour Studios",Mars Needs Moms
" Warner Bros., Village Roadshow Pictures, NPV Entertainment",The Matrix Revolutions
" DreamWorks Animation, Pacific Data Images (PDI), Nickelodeon Movies",Madagascar 3: Europe's Most Wanted
" Eon Productions, Danjaq, Metro-Goldwyn-Mayer (MGM)",Die Another Day
" Columbia Pictures Corporation, LStar Capital, Village Roadshow Pictures",Ghostbusters
" Paramount Pictures, Shangri-La Entertainment, ImageMovers",Beowulf
" Columbia Pictures Corporation, Columbia Pictures Corporation, Amblin Entertainment",Men in Black II
" Touchstone Pictures, Jerry Bruckheimer Films, Valhalla Motion Pictures",Armageddon
 DreamWorks Animation,Rise of the Guardians
" Paramount Pictures, Skydance Media, TC Productions",Mission: Impossible - Ghost Protocol
" China Film Co., DreamWorks Animation, Oriental DreamWorks",O Panda do Kung Fu 3
" Warner Bros., The Bedford Falls Company, Cruise/Wagner Productions",The Last Samurai
" Paramount Pictures, Spyglass Entertainment, Bad Robot",Star Trek
" Columbia Pictures Corporation, Marvel Enterprises, Laura Ziskin Productions",Spider-Man
" Columbia Pictures Corporation, Imagine Entertainment, JC 23 Entertainment",Fun with Dick and Jane
" Chernin Entertainment, Scott Free Productions, Babieka",Exodus: Gods and Kings
" Columbia Pictures Corporation, Original Film, Phoenix Pictures",Stealth
" DreamWorks Animation, Mad Hatter Entertainment",How to Train Your Dragon 2
" Pyramania, Summit Entertainment, Mystery Clock Cinema",Gods of Egypt
" Universal Pictures, Marvel Enterprises, Valhalla Motion Pictures",Hulk
" Warner Bros., Paramount Pictures, Legendary Entertainment",Watchmen
" Chris Lee Productions, Square Company, Square USA",Final Fantasy: The Spirits Within
" Paramount Pictures, Bristol Bay Productions, Baldwin Entertainment Group",Sahara
" Paramount Pictures, Metro-Goldwyn-Mayer (MGM), Skydance Media",G.I. Joe: Retaliation
" Warner Bros., Silver Pictures, Donner/Shuler-Donner Productions",Lethal Weapon 4
" Twentieth Century Fox, Miramax, Universal Pictures",Master and Commander: The Far Side of the World
" Paramount Pictures, Marvel Entertainment, Marvel Studios",Captain America: The First Avenger
" Warner Bros., Village Roadshow Pictures, Kennedy Miller Mitchell",Happy Feet 2
" Universal Pictures, Marvel Enterprises, Marvel Studios",The Incredible Hulk
" Danjaq, Eon Productions, Metro-Goldwyn-Mayer (MGM)",The World Is Not Enough
" Summit Entertainment, Temple Hill Entertainment, Sunswept Entertainment",The Twilight Saga: Breaking Dawn - Part 2
" Walt Disney Pictures, Amblin Entertainment, Reliance Entertainment",The BFG
 DreamWorks Animation,Turbo
" Michael Mann Productions, Universal Television",Miami Vice            
" Regency Enterprises, RatPac Entertainment, New Regency Pictures",The Revenant
" Paramount Pictures, Nickelodeon Movies, Blind Wink Productions",Rango
" Universal Pictures, Motion Picture BETA Produktionsgesellschaft, The Kennedy/Marshall Company",The Bourne Ultimatum
" DreamWorks Animation, Nickelodeon Movies, Pacific Data Images (PDI)",Kung Fu Panda
 DreamWorks Animation,Home
" DreamWorks Animation, Pacific Data Images (PDI)",Penguins of Madagascar
" Color Force, Lionsgate",The Hunger Games: Catching Fire
" Paramount Pictures, DreamWorks, Amblin Entertainment",War of the Worlds
" Gary Sanchez Productions, Marvel Studios, Walt Disney Pictures",Ant-Man
" Columbia Pictures Corporation, Don Simpson/Jerry Bruckheimer Films",Bad Boys II
 DreamWorks Animation,Puss in Boots
" Columbia Pictures Corporation, Relativity Media, Di Bonaventura Pictures",Salt
" Paramount Pictures, Regency Enterprises, Protozoa Pictures",Noah
" Columbia Pictures Corporation, Paramount Pictures, Amblin Entertainment",The Adventures of Tintin
" Twentieth Century Fox, Bazmark Films, ScreenWest",Australia
" Warner Bros., 1492 Pictures, Heyday Films",Harry Potter and the Prisoner of Azkaban
" Columbia Pictures Corporation, Overbrook Entertainment, Blinding Edge Pictures",After Earth
" Walt Disney Pictures, The Secret Lab (TSL), Walt Disney Feature Animation",Dinosaur
" Universal Pictures, Original Film, Dark Horse Entertainment",R.I.P.D.
" Electronic Arts (EA), Warner Bros. Interactive Entertainment (WBIE)",Harry Potter and the Deathly Hallows: Part II
" DreamWorks Animation, Pacific Data Images (PDI), Red Hour Films",Megamind
" Warner Bros., Heyday Films, 1492 Pictures",Harry Potter and the Sorcerer's Stone
" Walt Disney Pictures, Jerry Bruckheimer Films",Pirates of the Caribbean: The Curse of the Black Pearl
" Color Force, Lionsgate",The Hunger Games: Mockingjay - Part 1
" Electronic Arts (EA), Warner Bros. Interactive Entertainment (WBIE)",Harry Potter and the Deathly Hallows: Part I
" Twentieth Century Fox, 21 Laps Entertainment, 1492 Pictures",Night at the Museum: Secret of the Tomb
" Twentieth Century Fox, Marvel Enterprises, Donners' Company",X-Men 2
" Universal Pictures, Original Film, One Race Productions",Fast Five
" Columbia Pictures Corporation, Imagine Entertainment, Skylark Productions",The Da Vinci Code
" Twentieth Century Fox Animation, Blue Sky Studios, FortyFour Studios",Rio 2
" Carolco Pictures, Carolco International N.V.",Total Recall
" Warner Bros., Village Roadshow Pictures, Silver Pictures",Sherlock Holmes: A Game of Shadows
" Warner Bros., Legendary Entertainment, Thunder Road Pictures",Clash of the Titans
" Warner Bros., PolyGram Filmed Entertainment",Batman & Robin
" Universal Pictures, Relativity Media, The Kennedy/Marshall Company",The Bourne Legacy
 Touchstone Pictures,The 13th Warrior
" Universal Pictures, Imagine Entertainment, LUNI Productions GmbH and Company KG",How the Grinch Stole Christmas
" Twentieth Century Fox, Centropolis Entertainment, Lions Gate Films",The Day After Tomorrow
" Twentieth Century Fox, Constantin Film, Marvel Studios",Fantastic 4: Rise of the Silver Surfer
" Paramount Pictures, Cruise/Wagner Productions, Munich Film Partners & Company (MFP) MI2 Productions",Mission: Impossible II
" Fox 2000 Pictures, Dune Entertainment, Ingenious Media",Life of Pi
" Columbia Pictures Corporation, Flower Films (II), Tall Trees Productions",Charlie's Angels: Full Throttle
" Universal Pictures, Perfect World Pictures (Beijing), The Kennedy/Marshall Company",Jason Bourne
" Twentieth Century Fox, Dune Entertainment, Scott Free Productions",Prometheus
" Warner Bros., Baltimore Spring Creek Productions, Radiant Productions",The Perfect Storm
" Columbia Pictures Corporation, Crystal Sky Pictures, Relativity Media",Ghost Rider
" Columbia Pictures Corporation, Franklin/Waterman Productions, Red Wagon Entertainment",Stuart Little 2
" TriStar Pictures, Media Rights Capital (MRC), QED International",Elysium
" Warner Bros., Village Roadshow Pictures, Silver Pictures",Speed Racer
" Metro-Goldwyn-Mayer (MGM), Columbia Pictures Corporation, Strike Entertainment",RoboCop
" Universal Pictures, Radar Pictures, One Race Productions",The Chronicles of Riddick
" Columbia Pictures Corporation, Gracie Films, Road Rebel",How Do You Know
" Universal Pictures, Relativity Media, Monolith Pictures (III)",Oblivion
" Twentieth Century Fox, Regency Enterprises, Pink Machine",Knight and Day
 Lucasfilm,Star Wars: Episode II - Attack of the Clones
" Lucasfilm, Mestiere Cinema, Pandora Films",Star Wars: Episode III - Revenge of the Sith
" Pixar Animation Studios, Walt Disney Pictures","Monsters, Inc."
" Metro-Goldwyn-Mayer (MGM), Lion Rock Productions",Windtalkers
" Twentieth Century Fox, Marvel Entertainment, Donners' Company",The Wolverine
 Lucasfilm,Star Wars: Episode I - The Phantom Menace
" Universal Pictures, Perfect World Pictures (Beijing), Roth Films",The Huntsman: Winter's War
 DreamWorks Animation,The Croods
" Pathé Renn Productions, La Petite Reine, TF1 Films Production",Astérix nos Jogos Olímpicos
" Universal Pictures, Pacific Western",Dante's Peak
" Paramount Pictures, Nickelodeon Movies, Platinum Dunes",Teenage Mutant Ninja Turtles
" Twentieth Century Fox, Constantin Film, Marvel Entertainment",Fantastic Four
" Paramount Pictures, Nickelodeon Movies, Platinum Dunes",Teenage Mutant Ninja Turtles: Out of the Shadows
" Warner Bros., Esperanto Filmoj, Heyday Films",Gravity
" Village Roadshow Pictures, New Line Cinema, RatPac-Dune Entertainment",San Andreas
" Eon Productions, Metro-Goldwyn-Mayer (MGM), United Artists",Tomorrow Never Dies
" Columbia Pictures Corporation, Centropolis Entertainment, Mutual Film Company",The Patriot
" Twentieth Century Fox, Ingenious Film Partners, 1492 Pictures",Night at the Museum
" Warner Bros., Village Roadshow Pictures, Jerry Weintraub Productions",Ocean's Twelve
" Forward Pass, Appian Way, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG",O Aviador
" Regency Enterprises, New Regency Pictures, Summit Entertainment",Mr. & Mrs. Smith
" Twentieth Century Fox, Dune Entertainment, Davis Entertainment",Gulliver's Travels
" Summit Entertainment, Red Wagon Entertainment, Mandeville Films",Insurgent
" Columbia Pictures Corporation, Original Film, K/O Camera Toys",The Green Hornet
" Walt Disney Pictures, Walt Disney Feature Animation",Home on the Range
" Columbia Pictures Corporation, Sony Pictures Animation, Kerner Entertainment Company",The Smurfs
" Warner Bros., Legendary Entertainment, Cruel & Unusual Films",300: Rise of an Empire
" Mandeville Films, Red Wagon Entertainment, Summit Entertainment",Allegiant
" DreamWorks, Touchstone Pictures, Reliance Entertainment",Real Steel
" Blue Tulip Productions, Twentieth Century Fox",Speed 2: Cruise Control
" Columbia Pictures Corporation, Sony Pictures Animation, Hemisphere Media Capital",The Smurfs 2
" Stephen J. Cannell Productions, Universal Television",The A-Team            
" MWM (MadisonWellsMedia), Summit Entertainment, Chartoff Productions",Ender's Game
" Twentieth Century Fox, Dune Entertainment, Ingenious Film Partners",Live Free or Die Hard
" Walden Media, Spanknyce Films, Mostow/Lieberman Productions",Around the World in 80 Days
" New Line Cinema, WingNut Films, The Saul Zaentz Company",The Lord of the Rings: The Fellowship of the Ring
" Universal Pictures, DreamWorks, Imagine Entertainment",The Cat in the Hat
" Columbia Pictures Corporation, Forward Pass, Initial Entertainment Group (IEG)",Ali
" Twentieth Century Fox, Mediastream Vierte Film GmbH & Co. Vermarktungs KG, Davis Entertainment","I, Robot"
" Twentieth Century Fox, Scott Free Productions, BK",Kingdom of Heaven
" Columbia Pictures Corporation, Franklin/Waterman Productions, Global Medien KG",O Pequeno Stuart Little
" New Line Cinema, Sidney Kimmel Entertainment, FR Production",Town & Country
" DreamWorks, Warner Bros., Parkes+MacDonald Image Nation",The Island
" Walt Disney Animation Studios, Walt Disney Pictures",The Princess and the Frog
 Channel Awesome,"10,000 B.C.            "
" Twentieth Century Fox, TSG Entertainment, Scott Free Productions",The Martian
" Touchstone Pictures, Jerry Bruckheimer Films",Gone in Sixty Seconds
" DreamWorks, Universal Pictures, Scott Free Productions",Gladiator
" Columbia Pictures Corporation, Eon Productions, Casino Royale Productions",Casino Royale
" Twentieth Century Fox, DreamWorks, Cruise/Wagner Productions",Minority Report
" Twentieth Century Fox, The Zanuck Company, Tim Burton Productions",Planet of the Apes
" Warner Bros., Heyday Films, 1492 Pictures",Harry Potter and the Chamber of Secrets
" Universal Pictures, Relativity Media, Forward Pass",Public Enemies
" Carolco Pictures, Pacific Western, Lightstorm Entertainment",Terminator 2: Judgment Day
" Universal Pictures, Imagine Entertainment, Relativity Media",American Gangster
" Twentieth Century Fox, Lightstorm Entertainment",True Lies
" Universal Pictures, Paramount Pictures, Relativity Media",Little Fockers
" Columbia Pictures Corporation, Metro-Goldwyn-Mayer (MGM), Relativity Media",The Taking of Pelham 123
" Columbia Pictures Corporation, Gary Sanchez Productions, Mosaic",The Other Guys
" Walt Disney Feature Animation, Walt Disney Pictures",The Hunchback of Notre Dame
" Fox 2000 Pictures, Davis Entertainment, Dune Entertainment",Eragon
" Walt Disney Feature Animation, Walt Disney Pictures",The Emperor's New Groove
" Warner Bros., Legendary Entertainment, Village Roadshow Pictures",O Sítio das Coisas Selvagens
" Kopelson Entertainment, Warner Bros.",Eraser
" Walt Disney Pictures, Jerry Bruckheimer Films, Junction Entertainment",National Treasure
